Class,LineCoveragePercentage,Dmitry-Me,Mikkeren,krasa,emiln,bstempi,joezeng,cameronxm,mattn,voter101,askogvold,dimas1,avl93,ryanhaining,rr-,rheber,julianwachholz,georgekankava,denmojo,deadok22,cmccall,14mRh4X0r
NoFizzNoBuzzStrategy,0.9,,2,1,1,,1,,1,,,1,,,,,,,,,,
SingleStepOutputGenerationStrategy,1,3,2,2,1,,,,,,,,,,1,1,,,,,,
SingleStepPayload,1,1,2,2,1,,,,,,,,,,,,,,,,,
BuzzStrategy,1,,2,1,1,,,,1,,,1,,,1,,,,,,,
EnterpriseGradeFizzBuzzSolutionStrategy,1,3,2,1,1,,,,,,,,,,1,,,,,,,
FizzStrategy,1,,2,,1,,1,,1,,,1,,,1,,,,,,,
SystemOutFizzBuzzOutputStrategy,1,,2,1,1,2,,,,,,,,,,,,,,,,
IntToDoubleConverter,1,1,2,1,1,,,,,,,,,,1,,,1,,,,
DoubleToIntConverter,1,1,2,1,1,,,,,,,,,,1,,,1,,,,
FizzStringPrinter,1,2,2,2,1,1,,,1,,,,,,,,,,,,,
NewLinePrinter,1,1,2,2,1,1,,1,1,,,,,,,,,,,,,
BuzzPrinter,1,1,2,2,1,1,,1,1,,,,,,1,,,,,,,
NewLineStringPrinter,0.846153846,2,2,2,1,1,,,1,,,,,,,,,,,,,
BuzzStringPrinter,1,2,2,2,1,1,,,1,,,,,,1,,,,,,,
IntegerPrinter,1,,2,2,1,,,1,,,,,,,,,,,,,,
IntegerIntegerPrinter,0.928571429,2,2,2,1,1,1,,1,,,,,,,1,,,,,,
FizzPrinter,1,1,2,2,1,1,,1,1,,,,,,,,,,,,,
IntegerDivider,0.888888889,2,2,3,1,,4,,,,,,,1,1,,,,,,,1
NumberIsMultipleOfAnotherNumberVerifier,0.833333333,2,2,3,2,,3,,,,1,1,,,1,,,,,,,
LoopContext,1,2,2,2,1,,,,,,,,,,,,,,,,,
LoopRunner,1,1,2,2,1,,,,,,,,,,,,,,,,,
LoopInitializer,1,1,,1,1,,,,1,,,,1,,1,,1,,,,,
LoopFinalizer,1,1,2,2,,,,,,,,,,,1,,,,,,,
LoopCondition,1,1,2,2,1,,1,,1,,,,,,1,,,,,,,
LoopStep,1,,2,2,1,,1,,2,,,,1,,,,,,,,,
FizzBuzzOutputGenerationContext,1,1,2,1,,,,,,,,,,,,,,,,,,
FizzBuzzOutputGenerationContextVisitor,1,1,2,1,1,,,,,,,,,,,,,,,,,
ThreeWayIntegerComparator,0.857142857,1,2,2,2,,2,,,,,,,,1,,,1,,,,
IntegerForEqualityComparator,1,1,2,2,1,,,,,,,,,,1,,,1,,,,
ThreeWayIntegerComparisonResult,1,1,,,,,,,,,,,,,,,,,,,,
ApplicationContextHolder,1,,2,3,,,,2,,,,,,,1,,,,,,,
Constants,0,,,1,,,,,,,,,,,1,,,,,,,
Main,0,2,2,2,2,,,,1,1,,,,,1,,,,,,,
StandardFizzBuzz,1,,2,2,1,,,,,,,,,,1,,,,,,,
ApplicationContextHolder,1,,2,3,,,,2,,,,,,,1,,,,,,,
FizzStringReturner,1,,,1,1,,,,1,,,,,,,,,,,,,
NewLineStringReturner,1,,,1,1,,,,1,,,,,,1,,,,,1,,
IntegerIntegerStringReturner,1,1,2,1,1,,1,,1,,,,,,,,,,,,,
BuzzStringReturner,1,,,1,1,,,,1,,,,,,1,,,,,,,
DefaultFizzBuzzUpperLimitParameter,0,1,2,3,2,,,,,,,,,,,,,,,,,
LoopContextStateRetrievalToSingleStepOutputGenerationAdapter,1,1,2,2,1,,,,,,,,,,1,,,,1,,,
FizzBuzzOutputStrategyToFizzBuzzExceptionSafeOutputStrategyAdapter,0.75,1,2,2,1,,,,,,,,,,1,,,,,,,
NewLineStringReturnerFactory,1,,2,2,1,,,,1,,,,,,,,,,,,,
SystemOutFizzBuzzOutputStrategyFactory,1,,2,2,1,1,,,,,,,,,,,,,,,,
FizzStringReturnerFactory,1,,2,2,1,,,,1,,,,,,,,,,,,,
IntegerIntegerStringReturnerFactory,1,,2,2,1,,,,1,,,,,,,,,,,,,
LoopComponentFactory,1,1,2,3,1,,,,1,,,,,,1,,,,,,1,1
FizzBuzzOutputGenerationContextVisitorFactory,1,1,2,2,1,,,,,,,,,,,,,,,,,
BuzzStringReturnerFactory,1,,2,2,1,,,,1,,,,,,1,,,,,,,
NewLineStringPrinterFactory,1,,2,2,1,,,,1,,,,,,,,,,,,,
IntegerIntegerPrinterFactory,1,,2,1,1,,,,,,,,,,,,,,,,,
BuzzStringPrinterFactory,1,,2,2,1,,,,1,,,,,,,,,,,,,
EnterpriseGradeFizzBuzzSolutionStrategyFactory,1,1,2,2,1,,,,,,,,,,,,,,,,,1
FizzStrategyFactory,1,,2,2,1,,,,1,,,,,,,,,,,,,
NoFizzNoBuzzStrategyFactory,1,,2,3,1,,,,1,,,,,,,,,,,,,
FizzStringPrinterFactory,1,,2,1,1,,,,1,,,,,,,,,,,,,
BuzzStrategyFactory,1,,2,2,1,,,,1,,,,,,,,,,,,,
FirstIsLargerThanSecondDoubleComparator,0.75,2,2,1,1,,,,,,,,,,1,,,,,,,
FirstIsSmallerThanSecondDoubleComparator,0.75,2,2,1,1,,,,,,,,,,1,,,,,,,
TOTAL_FILE_EDITS_PER_USER,,48,106,103,57,10,15,8,30,1,1,4,2,1,28,2,1,4,1,1,1,3
